QUESTION,ANSWER
스틸 휠과 알루미늄 휠을 교환할 때 주의해야 할 점은 무엇인가요?,"스틸 휠과 알루미늄 휠은 두께 차이로 인해 각각 전용 허브 스터드가 적용되므로, 차량 출고 시 장착되어 있던 스틸 또는 알루미늄 휠을 다른 종류의 휠로 교환하면 파손될 수 있으므로 주의해야 합니다."
스페어 타이어를 점검하고 관리할 때 주의해야 할 점은 무엇인가요?,"스페어 타이어를 점검하고 관리할 때 주의해야 할 점은 수시로 점검하고, 스페어 타이어 및 스페어 휠 캐리어 핸들을 차량 내에 거치하지 않을 경우 분실하지 않도록 별도로 보관하는 것입니다."
TPMS(타이어 공기압 감지 시스템)의 기능은 무엇인가요?,TPMS(타이어 공기압 감지 시스템)는 각 휠에 장착된 센서를 통해 일정기준 이하로 공기압이 떨어진 타이어와 일정기준 이상으로 올라간 타이어의 온도를 감지하여 운전자에게 알려주는 장치입니다.
TPMS(타이어 공기압 감지 시스템)의 정상적인 작동을 방해할 수 있는 행동은 무엇인가요?,"TPMS(타이어 공기압 감지 시스템)의 정상적인 작동을 방해할 수 있는 행동은 시스템의 부품을 임의로 조정하거나 수정하는 것, 타이어 방수제를 사용하는 것, 타이어 위치를 임의로 교환하는 것 등이 있습니다."
라이닝 마모 감지 경보 시스템(LWS)이 작동하는 원리는 무엇인가요?,"라이닝 마모 감지 경보 시스템(LWS)은 각 휠에 장착된 센서를 통해 라이닝(패드) 마모도를 표시하고, 마모 한계에 도달하면 경고등이 켜져 운전자에게 라이닝(패드) 마모 정도를 알려주는 장치입니다."
브레이크 라이닝(패드)을 교환할 때 주의해야 할 점은 무엇인가요?,"브레이크 라이닝(패드)을 교환할 때는 전륜과 후륜을 동시에 신품으로 교환하고, 교환 후 라이닝(패드) 마모 정보를 확인하여 10% 이상 차이가 나는 경우에는 브레이크 라이닝(패드) 장착 상태를 재점검해야 합니다."
수동변속기 및 리어액슬 기어 오일을 점검하고 보충하는 방법은 무엇인가요?,"수동변속기 및 리어액슬 기어 오일을 점검하고 보충하는 방법은 먼저 차량을 평평한 곳에 주차하고, 기어 오일 점검구를 열어 오일의 상태와 양을 확인한 후, 필요시 오일을 보충하는 것입니다."
에어드라이어 점검은 몇 페이지에 설명되어 있나요?,에어드라이어 점검은 9-50 페이지에 설명되어 있습니다.
차량 밑에서 작업할 때 반드시 사용해야 하는 장비는 무엇인가요?,차량 밑에서 작업할 때 반드시 사용해야 하는 장비는 리프트입니다.
변속기와 관련하여 점검해야 할 사항은 무엇인가요?,"변속기와 관련하여 점검해야 할 사항은 클러치의 유격이 적당한지, 변속레버의 조작이 용이한지, 심한 진동이 없는지 확인하는 것입니다."
트 벨 드 브 리 - V의 주요 점검 항목은 무엇인가요?,"트 벨 드 브 리 - V의 주요 점검 항목은 태 상 상 손, 력 장 트 벨 V 검 점 유 누 일 오 및 료 연, 수 누 수 각 냉, 기 누 기 공 소 청 러 쿨 터 인 및 터 이 에 디 라 임 조 프 램 클 등입니다."
검 점 다 마 m k 0 0 0 0 0 1 의 교체 주기는 무엇인가요?,검 점 다 마 m k 0 0 0 0 0 1 의 교체 주기는 매년입니다.
검점 다마는 몇 km마다 수행해야 하나요?,"검점 다마는 5,000 km마다 수행해야 합니다."
디젤엔진의 엔진 오일과 엔진 오일필터를 교환하는 주기는 어떻게 되나요?,"디젤엔진의 엔진 오일과 엔진 오일필터는 일반 오일의 경우 매 30,000km 또는 6개월마다, 장수명 오일의 경우 매 50,000km 또는 6개월마다 교환해야 합니다."
압력 가버너 다이어프램 및 고무부품의 교환 주기는 무엇인가요?,압력 가버너 다이어프램 및 고무부품의 교환 주기는 문서에 명시되어 있지 않습니다.
판 스프링 리어 리어(좌측)에 사용되는 그리스의 종류와 주기는 무엇인가요?,"판 스프링 리어 리어(좌측)에 사용되는 그리스의 종류는 NLGI 000, 00 또는 NLGI#1, 2이며, 주기는 매 10,000km입니다."
자동그리스 시스템에서 공기(AIR) 제거 방법은 무엇인가요?,"자동그리스 시스템에서 공기(AIR) 제거 방법은 그리스 보충 후 차량 메인 스위치 또는 시동 스위치를 'ON'으로 하고, 컨트롤 유니트의 4번 MANUAL 버튼을 2회 누른 후, 펌프가 작동하면 분류기의 끝부분 플러그를 열어 그리스가 나오는지 확인하고, 그리스가 나오면 플러그를 잠그는 것입니다."
그리스 자동주유장치의 작동시간과 휴게시간을 조정하는 방법은 무엇인가요?,"그리스 자동주유장치의 작동시간은 빨간색 회전 스위치로 15단계로 조정할 수 있으며, 휴게시간은 파란색 회전 스위치로 15단계로 조정할 수 있습니다."
엔진 오일을 보충할 때 주의해야 할 점은 무엇인가요?,"엔진 오일을 보충할 때는 오일 주입구로 이물질이 들어가지 않도록 주의하고, 오일의 양이 '최고'선을 초과하지 않도록 하며, 주행 직후에는 오일이 고온이므로 약간의 시간이 흐른 후에 보충해야 합니다."
엔진 오일 첨가제를 사용하면 어떤 문제가 발생할 수 있나요?,엔진 오일 첨가제를 사용하면 엔진 오일의 특성이 변화하여 심각한 엔진 고장을 유발할 수 있습니다.
엔진 오일을 교체할 때 오일 필터를 조립하는 방법은 무엇인가요?,"오일 필터를 조립할 때는 오일 필터 고무패킹에 엔진 오일을 엷게 도포하고, 고무패킹이 헤드 하면에 완전히 밀착될 때까지 손으로 돌린 후, ¾바퀴를 더 조여 조립을 완료합니다."
냉각수 점검 및 보충 시 주의사항은 무엇인가요?,"냉각수 점검 및 보충 시에는 부동액을 사용하여 동결 방지 및 냉각계통의 부식을 방지해야 하며, 부동액을 사용할 수 없을 경우에는 반드시 수돗물(연수)을 사용해야 합니다. 우물물, 지하수 등은 사용하지 말아야 합니다."
디젤 엔진의 부동액 비율은 어느 범위 내에서 사용해야 하나요?,디젤 엔진 부동액 비율은 반드시 45% ~ 50% 범위 내에서만 사용해야 합니다.
라디에이터 및 인터쿨러 청소 시 주의해야 할 점은 무엇인가요?,"라디에이터 및 인터쿨러 청소 시 주의해야 할 점은 분사 압력에 의해 방열핀이 손상되지 않도록 하고, 물 세척 시 전기장치에 물이 오염되지 않도록 주의하는 것입니다."
"기어박스 오일을 교환할 때 오일 배출 플러그를 규정 토크로 체결해야 하는데, 이때의 조임 토크는 얼마인가요?","기어박스 오일을 교환할 때 오일 배출 플러그를 규정 토크로 체결해야 하는데, 이때의 조임 토크는 8N.m(0.8kgf.m)입니다."
"워터 세퍼레이터 교환 후 연료가 밖으로 넘쳐 흐른 경우 어떤 위험이 발생할 수 있으며, 어떻게 대처해야 하나요?",워터 세퍼레이터 교환 후 연료가 밖으로 넘쳐 흐른 경우 화재의 위험이 있습니다. 이 경우 연료를 잘 닦아내어 화재를 방지해야 합니다.
연료 필터 교환 후 엔진 시동이 걸리지 않을 때 어떻게 에어 빼기 작업을 해야 하나요?,"연료 필터 교환 후 엔진 시동이 걸리지 않을 때 에어 빼기 작업은 에어벤트 볼트를 조금 풀고, 에어 빼기용 플러그에 비닐 튜브를 끼운 후, 플라이밍 펌프를 반복하여 작동시켜 연료 속에 기포가 나오지 않을 때까지 작업을 진행한 후 에어벤트 볼트를 잠그는 것입니다."
파워 스티어링 오일량을 점검하고 보충하는 절차는 무엇인가요?,"파워 스티어링 오일량을 점검하고 보충하는 절차는 평탄한 장소에서 전륜을 직진 상태로 한 후 엔진의 시동을 끄고 탱크의 캡을 열고, 캡의 레벨 게이지를 닦은 후 다시 주입구에 놓고 서서히 들어 올려 레벨 게이지의 오일 위치를 점검하는 것입니다."
오일저장 탱크가 비어 있을 때 엔진을 시동시키면 어떤 문제가 발생할 수 있나요?,오일저장 탱크가 비어 있을 때 엔진을 시동시키면 스티어링 휠이 무겁게 되거나 이상한 소리가 발생할 수 있습니다.
와이퍼 블레이드의 손상을 방지하기 위해 사용하지 말아야 할 액체는 무엇인가요?,"와이퍼 블레이드의 손상을 방지하기 위해 휘발유, 등유, 페인트, 신나 또는 기타 솔벤트 류의 액체 등을 앞 유리에 사용하지 말아야 합니다."
클러치 페달을 점검할 때 확인해야 할 사항은 무엇인가요?,"클러치 페달을 점검할 때는 엔진을 아이들링 상태에서 클러치 페달을 밟았을 때 이상한 소리가 나지 않는지, 기어 변속 레버가 1단 또는 후진의 위치로 용이하게 변속되는지, 클러치 페달을 서서히 떼어서 출발할 때 미끄러지지 않고 접속이 잘 되는지를 확인해야 합니다."
클러치 액 보충 시 주의해야 할 점은 무엇인가요?,"클러치 액 보충 시 주의해야 할 점은 탱크 안에 먼지 등이 들어가지 않도록 주의하고, 클러치 액의 수준이 리저버 탱크의 MAX 수준을 초과하지 않도록 주입하며, 다른 회사 제품과 혼용하지 않는 것입니다."
스티어링 휠의 유격을 점검하는 방법은 무엇인가요?,"스티어링 휠의 유격을 점검하는 방법은 스티어링 휠을 똑바로 직진 방향으로 하여 가볍게 좌우로 흔들어 유격(저항을 느낄 때까지의 움직임)을 점검하고, 스티어링 휠 움직임이 24mm 이하이면 정상입니다."
에어탱크의 응수점검은 언제 수행해야 하나요?,에어탱크의 응수점검은 운행 전후에 수행해야 합니다.
에어 탱크의 공기 압력 상승 상태를 점검할 때 정상적인 상승시간은 얼마인가요?,"에어 탱크의 공기 압력 상승 상태를 점검할 때 정상적인 상승시간은 MAX, RPM에서 3분 이하입니다."
CNG 연료 필터를 교환할 때 수동 차단 밸브를 사용하는 방법은 무엇인가요?,"CNG 연료 필터를 교환할 때 수동 차단 밸브를 사용하는 방법은 먼저 차량을 평탄하고 밀폐되지 않은 공간에 주차하고, 변속기 기어를 중립으로 놓고 주차 브레이크를 체결한 후, 수동 차단 밸브를 시계 방향으로 90도 돌려 연료를 차단하는 것입니다."
배터리의 「 + 」 단자와 「 - 」 단자를 역으로 접속하면 어떤 문제가 발생하나요?,배터리의 「 + 」 단자와 「 - 」 단자를 역으로 접속하면 과대 전류가 흘러 발전기의 다이오드와 차체 배선이 손상됩니다.
고압용 연료 실린더의 안전밸브(PRD)는 어떤 상황에서 개방되나요?,고압용 연료 실린더의 안전밸브(PRD)는 화재 등으로 110℃ 이상 고온에 노출된 비정상 상황의 경우 개방됩니다.
"에어 압력 조절기를 사용하여 공기탱크 압력을 9Bar에서 2Bar로 조절할 때, 압력게이지가 2Bar를 초과하면 어떻게 해야 하나요?",압력게이지가 2Bar를 초과하면 레버를 돌려서 2Bar로 조정해야 합니다.
웨이스트 게이트 조절밸브의 역할은 무엇인가요?,"웨이스트 게이트 조절밸브는 터보차져로 가해지는 공기압을 제어하여 저속, 고속에서 최적의 터보차져 성능을 낼 수 있도록 합니다."
전구 교환 시 주의사항은 무엇인가요?,"전구 교환 시 맨손으로 반사경 또는 전구를 만지지 말고 장갑이나 패키징을 사용해야 하며, 손에 묻은 그리스, 오일 등의 불순물이 전구에서 발생되는 열에 의해 증발되어 반사경 기능을 손상시킬 수 있으므로 주의해야 합니다."
실내등의 A 타입과 B 타입의 차이점은 무엇인가요?,"실내등의 A 타입과 B 타입의 차이점은 A 타입에는 실내등, 독서등, 실내등(무드), 라인 라이트가 포함되어 있고, B 타입에는 실내등, 독서등, 실내등(무드), 라인 라이트, 선반 무드등이 포함되어 있습니다."
차체 도장 표면에 얼룩 등을 제거하거나 광택을 낼 때 강한 연마제를 사용하면 어떤 문제가 발생할 수 있나요?,차체 도장 표면에 얼룩 등을 제거하거나 광택을 낼 때 강한 연마제를 사용하면 도장면이 벗겨질 수도 있는 심각한 손상을 초래할 수 있습니다.
EGR (Exhaust Gas Recirculation) 장치의 주요 기능은 무엇인가요?,EGR 장치의 주요 기능은 엔진 내부에서 연료가 연소하는 과정에서 발생하는 배출가스를 흡입 공기와 혼합하여 연소실로 재순환시켜 질소산화물(NOx) 배출량을 감소시키는 것입니다.
"배출가스 저감을 위해 사용해야 하는 연료와 엔진 오일, 요소수의 규격은 무엇인가요?","배출가스 저감을 위해 석유 및 석유대체연료 사업법에 따른 품질기준을 만족하는 연료를 사용하고, 규정된 엔진 오일 및 요소수(AdBlue, DEF)를 사용해야 합니다."
DPF 빠른 재생 기능이 작동 중일 때 차량 출발을 위한 조작을 하면 어떤 현상이 발생하나요?,DPF 빠른 재생 기능이 작동 중일 때 차량 출발을 위한 조작을 하면 출발이 용이하도록 엔진 RPM이 하강합니다.
수동 재생을 진행할 때 주의해야 할 사항은 무엇인가요?,"수동 재생을 진행할 때 주의해야 할 사항은 밀폐된 공간에서 진행하지 말고 통풍이 잘되는 곳에서 진행하며, 주변에 인화물이 없는지 확인하고, 재생 중에는 고열이 발생하므로 안전에 유의해야 합니다."
공조 장치용 에어필터를 주기적으로 교체하지 않으면 어떤 문제가 발생할 수 있나요?,공조 장치용 에어필터를 주기적으로 교체하지 않으면 먼지 등 이물질 퇴적에 의한 풍량 저하로 냉·난방 성능이 저하될 수 있으며 악취 발생의 원인이 될 수도 있습니다.
문 중 전의 코드와 관련된 숫자 조합은 무엇인가요?,"문 중 전의 코드와 관련된 숫자 조합은 0 7 3 3, 0 5 9 1, 9 3입니다."
타이어의 회전저항 등급(RRC)과 젖은 노면 제동력 등급(G)에 대해 설명하세요.,"타이어의 회전저항 등급(RRC)은 타이어에 걸리는 하중에 대한 회전저항의 비율을 나타내며, 1등급에 가까울수록 소비 효율이 높습니다. 젖은 노면 제동력 등급(G)은 기준 타이어 대비 시험대상 타이어의 젖은 노면 제동성능 비율을 나타내며, 1등급에 가까울수록 젖은 노면에서의 제동력이 좋습니다."
차대번호(VIN)는 어디에 타각되어 있나요?,차대번호(VIN)는 우측 익스텐션 프레임(사이드 멤버 바깥쪽)에 타각되어 있습니다.
EBS/VDC 시스템의 주요 기능은 무엇인가요?,EBS/VDC 시스템의 주요 기능은 차량의 전자식 브레이크 시스템(EBS)과 차체 자세 제어장치(VDC)를 통해 차량의 안정성과 제동 성능을 향상시키는 것입니다.
다용도 보관함을 사용하는 방법은 무엇인가요?,다용도 보관함을 사용하는 방법은 사물함을 열고 필요한 물건을 보관하거나 꺼내는 것입니다.
주행 중 타이어에 펑크가 날 경우 어떻게 조치해야 하나요?,"주행 중 타이어에 펑크가 날 경우 차량을 안전한 곳에 정차시키고, 비상경고등을 켜고, 스페어 타이어로 교체하거나 견인을 요청해야 합니다."
SCC 감속 시 보조 브레이크는 어떤 페이지에 설명되어 있나요?,SCC 감속 시 보조 브레이크는 5-49 페이지에 설명되어 있습니다.
"요소수(AdBlue, DEF)를 주입하는 방법은 무엇인가요?","요소수(AdBlue, DEF)를 주입하는 방법은 4-4 페이지에 설명되어 있습니다. 주입구를 열고 요소수를 천천히 주입한 후, 주입구를 닫습니다."
전조등의 상향과 하향 변환은 어디에서 설명되어 있나요?,전조등의 상향과 하향 변환은 3-53 페이지에서 설명되어 있습니다.
크루즈 컨트롤 (CC) 사용 시 속도 설정 방법은 무엇인가요?,크루즈 컨트롤 (CC) 사용 시 속도 설정 방법은 5-41 페이지에 설명되어 있습니다.
클러치 디스크 및 커버 교환 시점 점검방법은 무엇인가요?,클러치 디스크 및 커버 교환 시점 점검방법은 9-48 페이지에 설명되어 있습니다.
후방 주차 거리 경고 (PDW) 시스템의 비작동 조건은 무엇인가요?,후방 주차 거리 경고 (PDW) 시스템의 비작동 조건은 3-69 페이지에 설명되어 있습니다.
최한선에 대해 알려주세요.,최한선은 1992년 1월 18일 서산에서 출생했으며 현재 발표를 진행중에 있습니다.
국방인공지능응용학과에대해 알려주세요,"2023년 국방 무인․로봇 및 인공지능분야 방위사업청 계약학과 주관대학으로 선정되었으며, 국방혁신의 핵심분야가 AI 및 무인, 로봇 분야로 진화 및 발전함에 따른 국방 및 방산분야 미래변화를 선도적으로 주도할 인재를 양성하는 전일제 석박사 과정으로 방위산업 관련 기업 채용보장, 국비지원, 병역특례 등이 주어지는 학과입니다."
ddualab에 대해 알려주세요,"데이터 기반 사용자 분석 연구실(DDUA Lab)은 머신 러닝 및 데이터 분석을 기반으로 사용 시퀀스 데이터, 이미지 데이터, IoT 데이터, 리뷰 텍스트 데이터 등 심도 있는 사용자 생성 데이터를 분석하는 연구를 수행하고 있습니다. 특히, 산업 공학, HCI, UX, 수학 등 다양한 백그라운드를 활용하여 분석 알고리즘부터  비즈니스 적용까지 데이터 분석의 value chain end-to-end를 포괄하고 있습니다."
